x,y,z,height
3073,4604,3108,71
2670,474,1441,56
2403,1895,2999,95
702,1993,3883,97
1824,48,4655,91
3542,1355,4669,54
3725,2359,1967,55
1020,2517,4417,75
3668,2393,4724,20
4365,1012,1809,60
250,2064,1914,73
1187,3139,2707,62
391,3666,1043,31
1818,1785,2867,18
1847,3945,136,75
2148,397,1381,58
1529,3066,1346,97
1990,2102,2188,10
3146,584,2496,38
9,1157,4162,56
4450,1813,288,61
2997,3227,2277,56
4909,2479,3625,78
1359,1697,3695,48
4520,2528,1366,36
4426,647,784,32
1165,4348,3600,54
1693,3580,3539,95
2775,108,3768,6
2732,4522,1629,33
3475,4199,2062,23
3946,2782,444,92
3353,388,1881,100
444,2475,981,98
991,2579,946,57
3824,2123,1362,54
4354,134,4384,31
2218,3069,571,87
4130,1253,4415,6
3922,3550,139,26
3652,1207,1594,85
2129,1264,4042,32
3972,1615,486,46
3650,4748,983,90
4047,3018,3187,45
3847,2573,3140,33
1162,4067,747,78
3510,2308,4385,78
4826,1175,26,15
2805,2626,1482,8
2850,1070,1852,37
2081,733,623,10
1838,574,623,41
275,1325,3385,10
814,375,1566,34
3375,2143,3089,61
2963,2991,1524,60
3313,3888,3601,63
2637,3155,667,46
511,4112,1013,23
4126,489,562,37
4650,688,371,86
209,1573,124,30
994,1486,3313,97
535,3474,58,72
1296,2604,4770,67
6,1200,1497,46
1184,2826,3274,44
1661,2580,4413,69
3617,1491,3308,32
4474,647,2753,7
1231,2773,1014,68
2105,1814,1555,32
4697,2342,3117,98
2759,3443,1529,8
2056,405,1541,81
4680,2232,4942,5
4536,3047,2254,37
1710,44,4157,85
3154,248,2531,97
2224,931,2493,12
1910,2793,2636,99
961,828,3042,34
2672,160,195,14
2510,3664,2635,17
1847,2347,4065,6
2919,1764,2957,25
3623,1453,657,17
4108,690,3916,5
4164,2176,1977,9
3140,2922,4715,31
103,2630,2953,89
882,2424,3948,77
4952,2706,2752,12
295,2665,2840,86
4155,3170,4286,64
673,1413,36,59
768,1460,3908,46
1985,4591,1014,32
717,1734,1985,10
4655,3811,1033,66
4558,2869,4145,48
3228,4439,3747,97
2990,520,4366,97
3082,1692,2490,7
3432,4662,2113,56
1448,1957,3432,42
45,4606,797,44
2898,1867,3523,59
1208,4096,1429,46
2638,4843,3270,72
3004,1939,4155,40
3167,4301,4334,65
2348,2829,4726,35
2237,1901,852,83
2984,4515,1325,67
1779,66,2494,50
3075,3160,4724,85
442,1851,4921,79
2817,1878,206,3
264,2330,3171,94
3326,959,2790,97
3103,3399,2100,24
2475,64,3494,50
2229,3817,1999,82
594,1706,3917,59
3838,4428,1211,80
906,2499,2421,53
2726,3814,1465,42
754,153,1534,40
3766,2905,3138,1
174,4076,1344,67
1537,893,2609,92
217,1764,409,75
977,4400,2756,2
4243,227,4544,76
112,3082,3350,73
484,1091,1249,5
4121,3155,4157,64
1936,400,2754,57
1308,2765,3454,84
3567,853,1804,88
